No.,District Name,Area Link,Status,,Remarks:
1,Bandar Kuala Terengganu,https://goo.gl/maps/mQpnnFR1pjiN1cf28,35,red,30 ~ 60 = red
2,Atas Tol,https://goo.gl/maps/Q4jHD4yR8qzLMJYt9,62,yellow,61 ~ 75 = yellow
3,Batu Buruk,https://goo.gl/maps/LPPQtx6c4Ji3bMG37,37,red,76 ~ 100 = green
4,Belara,https://goo.gl/maps/z8jEV4anEiVEUpJA9,80,green,
5,Bukit Besar,https://goo.gl/maps/aY6Auz3dPxQaFotf7,83,green,
6,Cabang Tiga,https://goo.gl/maps/NxgCcGSY352gjzti9,46,red,
7,Cenering,https://goo.gl/maps/hCtVRNunL2LwXmR48,93,,
8,Gelugur Kedai,https://goo.gl/maps/dZA338oub39tRKZk6,85,,
9,Gelugur Raja,https://goo.gl/maps/9Dq2Z13c4kedVf9V9,88,,
10,Kepung,https://goo.gl/maps/aAnD7UCv4CoBcg9h7,41,,
11,Kuala Ibai,https://goo.gl/maps/PAJBaYshaNUNHZvj8,64,,
12,Kubang Parit,https://goo.gl/maps/KQQJDavAAyvS6CQDA,73,,
13,Losong,https://goo.gl/maps/BjxmWiEW2RvUmM6L6,59,,
14,Manir,https://goo.gl/maps/wLPicnhNXax3dLdM7,68,,
15,Paluh,https://goo.gl/maps/BZynhAV176XthfKp7,81,,
16,Pengadang Buloh,https://goo.gl/maps/UFDB82KYXiGDXjbr6,51,,
17,Pulau-Pulau,https://goo.gl/maps/Z9nEHq8zeGepzRLf7,67,,
18,Rengas,https://goo.gl/maps/ocGiV6A556WGc7uBA,70,,
19,Serada,https://goo.gl/maps/66uqJxC63Hzx2WmD6,84,,
20,Tok Jamal,https://goo.gl/maps/PatfQLqhAAHSMxfx5,79,,
